Hour of day,Year,Day,Day of Year,Latitude,Longitude,Month,Ne/cm-3,O+,N+,hmF2,Tec,foF2,magnitud,Profundidad,VTEC
15.4,2022,22,264,18.53368,237.3,9,873470,983,15,276.9,15.14,8.553,3.7,15,11
15.6,2022,22,264,18.53368,237.3,9,925187,983,15,277,16.12,8.802,3.8,12,11.5
15.8,2022,22,264,18.53368,237.3,9,973538,984,15,277.3,17.05,9.025,4,10,11.2
16,2022,22,264,18.53368,237.3,9,1018937,984,15,277.9,17.93,9.226,3.4,5,10.7
16.2,2022,22,264,18.53368,237.3,9,1062023,984,14,278.7,18.76,9.407,3.7,10,10.3
16.4,2022,22,264,18.53368,237.3,9,1103583,985,14,279.9,19.56,9.574,3.5,16,9.8
16.6,2022,22,264,18.53368,237.3,9,1144440,985,14,281.2,20.34,9.732,3.7,10,10.1
16.8,2022,22,264,18.53368,237.3,9,1185355,986,13,282.9,21.1,9.884,3.6,13,10.1
17,2022,22,264,18.53368,237.3,9,1226948,986,13,284.7,21.86,10.034,3.6,16,10
17.2,2022,22,264,18.53368,237.3,9,1269616,987,12,286.9,22.62,10.184,3.5,18,9.6
17.4,2022,22,264,18.53368,237.3,9,1313490,987,12,289.2,23.38,10.338,3.9,9,9.6
17.6,2022,22,264,18.53368,237.3,9,1358403,988,12,291.7,24.15,10.494,3.8,18,10
17.8,2022,22,264,18.53368,237.3,9,1403886,988,11,294.5,24.93,10.653,3.8,22,10.3
18,2022,22,264,18.53368,237.3,9,1449196,989,11,297.3,25.7,10.814,3.7,10,10.3
18.2,2022,22,264,18.53368,237.3,9,1493376,989,11,300.3,26.46,10.974,3.7,10,9.8
18.4,2022,22,264,18.53368,237.3,9,1535474,989,10,303.3,27.19,11.132,3.7,16,9.6
18.6,2022,22,264,18.53368,237.3,9,1574266,990,10,306.4,27.89,11.286,3.7,16,9.5
18.8,2022,22,264,18.53368,237.3,9,1608774,990,10,309.5,28.55,11.433,3.9,15,8.5
19,2022,22,264,18.53368,237.3,9,1638434,990,10,312.5,29.15,11.571,3.5,13,8.1
19.2,2022,22,264,18.53368,237.3,9,1663108,990,10,315.4,29.7,11.699,3.9,4,9.4
19.4,2022,22,264,18.53368,237.3,9,1683061,990,10,318.1,30.2,11.816,3.5,14,9.1
19.6,2022,22,264,18.53368,237.3,9,1698895,990,10,320.7,30.64,11.922,3.9,13,8.7
19.8,2022,22,264,18.53368,237.3,9,1711447,990,10,323,31.03,12.017,3.7,10,33.3
20,2022,22,264,18.53368,237.3,9,1721675,990,10,325,31.37,12.101,3.5,14,31.2
20.2,2022,22,264,18.53368,237.3,9,1730541,990,10,326.8,31.67,12.176,3.4,10,29.5
20.4,2022,22,264,18.53368,237.3,9,1738929,990,10,328.2,31.94,12.243,3.8,10,26.2
20.6,2022,22,264,18.53368,237.3,9,1747578,990,10,329.2,32.17,12.302,3.6,5,23.2
20.8,2022,22,264,18.53368,237.3,9,1757035,990,10,329.8,32.37,12.354,3.4,10,20.8
21,2022,22,264,18.53368,237.3,9,1767664,989,11,330,32.53,12.4,3.7,5,17.8
21.2,2022,22,264,18.53368,237.3,9,1779615,989,11,329.8,32.67,12.438,3.8,12,15.5
21.4,2022,22,264,18.53368,237.3,9,1792814,989,11,329.2,32.77,12.47,3.7,7,14.8
21.6,2022,22,264,18.53368,237.3,9,1806935,988,11,328.1,32.84,12.492,3.6,8,13.9
21.8,2022,22,264,18.53368,237.3,9,1821385,988,12,326.7,32.88,12.505,3.5,10,14
22,2022,22,264,18.53368,237.3,9,1835258,988,12,324.9,32.88,12.505,3.9,10,11.5
22.2,2022,22,264,18.53368,237.3,9,1847356,987,12,322.7,32.84,12.492,3.7,15,10.2
22.4,2022,22,264,18.53368,237.3,9,1856212,987,13,320.2,32.74,12.464,3.4,5,10.2
22.6,2022,22,264,18.53368,237.3,9,1860176,987,13,317.4,32.55,12.419,3.6,5,27.2
22.8,2022,22,264,18.53368,237.3,9,1857565,986,13,314.4,32.33,12.355,3.4,14,28.1
23,2022,22,264,18.53368,237.3,9,1846854,986,14,311.1,32.05,12.272,3.8,5,27.3
23.2,2022,22,264,18.53368,237.3,9,1826919,986,14,307.7,31.68,12.17,3.4,14,29.1
23.4,2022,22,264,18.53368,237.3,9,1797255,986,14,304.3,31.23,12.048,4,15,29.7
23.6,2022,22,264,18.53368,237.3,9,1758170,985,14,300.7,30.69,11.908,3.4,15,30
23.8,2022,22,264,18.53368,237.3,9,1710779,985,15,297.2,30.07,11.75,3.6,14,32.7
24,2022,22,264,18.53368,237.3,9,1656246,985,15,293.8,29.38,11.575,3.5,9,34.3
